p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,,,,
1.44E-296,-1.322833227,0.198,0.686,4.77E-292,Healthy/Control,ENSG00000148362,,,ENSG00000148362,PAXX
4.69E-295,-0.849967758,0.478,0.93,1.56E-290,Healthy/Control,ENSG00000147065,,,ENSG00000147065,MSN
3.74E-294,-0.888327272,0.461,0.931,1.24E-289,Healthy/Control,ENSG00000173821,,,ENSG00000173821,RNF213
4.03E-294,-0.897071084,0.446,0.901,1.34E-289,Healthy/Control,ENSG00000096384,,,ENSG00000096384,HSP90AB1
1.28E-291,-1.03379275,0.368,0.87,4.24E-287,Healthy/Control,ENSG00000134954,,,ENSG00000134954,ETS1
2.01E-291,-1.684173397,0.04,0.431,6.67E-287,Healthy/Control,ENSG00000211677,,,ENSG00000211677,IGLC2
2.15E-291,-1.386723282,0.151,0.592,7.14E-287,Healthy/Control,ENSG00000211450,,,ENSG00000211450,SELENOH
6.86E-291,-1.013082699,0.392,0.907,2.28E-286,Healthy/Control,ENSG00000167978,,,ENSG00000167978,SRRM2
3.02E-289,0.427563364,0.79,0.721,1.00E-284,Healthy/Control,ENSG00000163220,,,ENSG00000163220,S100A9
7.27E-289,-1.146287765,0.299,0.802,2.41E-284,Healthy/Control,ENSG00000168209,,,ENSG00000168209,DDIT4
2.68E-287,-1.368365039,0.169,0.649,8.90E-283,Healthy/Control,ENSG00000101654,,,ENSG00000101654,RNMT
7.07E-287,-1.619492856,0.061,0.459,2.35E-282,Healthy/Control,ENSG00000184260,,,ENSG00000184260,HIST2H2AC
4.66E-271,2.123563875,0.359,0,1.55E-266,Healthy/Control,ENSG00000099624,,,ENSG00000099624,ATP5F1D
1.61E-269,-1.123187625,0.288,0.754,5.35E-265,Healthy/Control,ENSG00000100906,,,ENSG00000100906,NFKBIA
8.23E-268,-0.741537565,0.541,0.953,2.73E-263,Healthy/Control,ENSG00000166794,,,ENSG00000166794,PPIB
1.15E-267,-1.269527388,0.196,0.647,3.82E-263,Healthy/Control,ENSG00000038219,,,ENSG00000038219,BOD1L1
6.77E-267,0.41678638,0.771,0.727,2.25E-262,Healthy/Control,ENSG00000143546,,,ENSG00000143546,S100A8
2.98E-266,2.111438279,0.354,0,9.89E-262,Healthy/Control,ENSG00000173915,,,ENSG00000173915,ATP5MD
6.06E-266,-1.361418425,0.149,0.59,2.02E-261,Healthy/Control,ENSG00000067334,,,ENSG00000067334,DNTTIP2
2.10E-262,-1.258421792,0.208,0.682,6.98E-258,Healthy/Control,ENSG00000111913,,,ENSG00000111913,RIPOR2
1.71E-260,-1.05600213,0.336,0.834,5.68E-256,Healthy/Control,ENSG00000020633,,,ENSG00000020633,RUNX3
1.01E-258,2.077890291,0.345,0,3.35E-254,Healthy/Control,ENSG00000241468,,,ENSG00000241468,ATP5MF
1.02E-256,-0.980009773,0.365,0.821,3.38E-252,Healthy/Control,ENSG00000054654,,,ENSG00000054654,SYNE2
3.83E-256,-1.054261794,0.335,0.831,1.27E-251,Healthy/Control,ENSG00000163660,,,ENSG00000163660,CCNL1
4.15E-256,-1.281731468,0.184,0.643,1.38E-251,Healthy/Control,ENSG00000166164,,,ENSG00000166164,BRD7
3.12E-254,-1.31708606,0.161,0.591,1.04E-249,Healthy/Control,ENSG00000176845,,,ENSG00000176845,METRNL
3.67E-254,-0.669333516,0.589,0.974,1.22E-249,Healthy/Control,ENSG00000080824,,,ENSG00000080824,HSP90AA1
9.94E-252,-1.349665619,0.139,0.562,3.30E-247,Healthy/Control,ENSG00000160218,,,ENSG00000160218,TRAPPC10
1.83E-251,-1.231914516,0.205,0.662,6.07E-247,Healthy/Control,ENSG00000166337,,,ENSG00000166337,TAF10
2.70E-250,-0.763900875,0.516,0.936,8.99E-246,Healthy/Control,ENSG00000119335,,,ENSG00000119335,SET
9.57E-249,-1.253276451,0.189,0.63,3.18E-244,Healthy/Control,ENSG00000132819,,,ENSG00000132819,RBM38
4.42E-248,-0.655282745,0.589,0.963,1.47E-243,Healthy/Control,ENSG00000136167,,,ENSG00000136167,LCP1
1.09E-246,-1.207883603,0.219,0.687,3.61E-242,Healthy/Control,ENSG00000180370,,,ENSG00000180370,PAK2
1.34E-246,-1.414611614,0.101,0.476,4.47E-242,Healthy/Control,ENSG00000131871,,,ENSG00000131871,SELENOS
1.07E-245,1.630422214,0.444,0.091,3.54E-241,Healthy/Control,ENSG00000149925,,,ENSG00000149925,ALDOA
4.79E-243,-1.220846352,0.202,0.653,1.59E-238,Healthy/Control,ENSG00000185262,,,ENSG00000185262,UBALD2
5.02E-243,-1.456547766,0.081,0.456,1.67E-238,Healthy/Control,ENSG00000129657,,,ENSG00000129657,SEC14L1
3.47E-240,-0.82338568,0.477,0.923,1.15E-235,Healthy/Control,ENSG00000170144,,,ENSG00000170144,HNRNPA3
1.24E-239,-1.269725144,0.162,0.571,4.11E-235,Healthy/Control,ENSG00000198843,,,ENSG00000198843,SELENOT
2.44E-239,-1.255753693,0.186,0.637,8.09E-235,Healthy/Control,ENSG00000109787,,,ENSG00000109787,KLF3
1.29E-238,-1.454362985,0.08,0.444,4.29E-234,Healthy/Control,ENSG00000110046,,,ENSG00000110046,ATG2A
1.05E-237,-1.052311645,0.318,0.803,3.49E-233,Healthy/Control,ENSG00000089737,,,ENSG00000089737,DDX24
8.20E-236,-1.24299142,0.186,0.622,2.73E-231,Healthy/Control,ENSG00000115232,,,ENSG00000115232,ITGA4
1.86E-235,-1.274236692,0.158,0.569,6.16E-231,Healthy/Control,ENSG00000183291,,,ENSG00000183291,SELENOF
7.10E-233,-1.355544268,0.108,0.475,2.36E-228,Healthy/Control,ENSG00000070010,,,ENSG00000070010,UFD1
1.04E-231,2.000812308,0.315,0,3.47E-227,Healthy/Control,ENSG00000279483,,,ENSG00000279483,AC090498.1
5.37E-231,-0.872519921,0.432,0.881,1.78E-226,Healthy/Control,ENSG00000153113,,,ENSG00000153113,CAST
1.25E-228,-1.002766734,0.34,0.809,4.15E-224,Healthy/Control,ENSG00000100941,,,ENSG00000100941,PNN
1.34E-227,-1.030463178,0.311,0.766,4.45E-223,Healthy/Control,ENSG00000131018,,,ENSG00000131018,SYNE1
3.72E-225,1.030988671,0.574,0.271,1.24E-220,Healthy/Control,ENSG00000090382,,,ENSG00000090382,LYZ
2.01E-224,0.334981046,0.807,0.726,6.67E-220,Healthy/Control,ENSG00000241343,,,ENSG00000241343,RPL36A
7.05E-224,-1.036660091,0.301,0.749,2.34E-219,Healthy/Control,ENSG00000152818,,,ENSG00000152818,UTRN
6.70E-222,-1.00474964,0.326,0.786,2.23E-217,Healthy/Control,ENSG00000110367,,,ENSG00000110367,DDX6
3.42E-221,-0.620838704,0.604,0.962,1.14E-216,Healthy/Control,ENSG00000143549,,,ENSG00000143549,TPM3
7.26E-220,-1.238552282,0.174,0.579,2.41E-215,Healthy/Control,ENSG00000158050,,,ENSG00000158050,DUSP2
9.54E-220,-1.409649438,0.07,0.396,3.17E-215,Healthy/Control,ENSG00000260032,,,ENSG00000260032,NORAD
3.93E-218,-1.063051091,0.289,0.756,1.31E-213,Healthy/Control,ENSG00000127483,,,ENSG00000127483,HP1BP3
4.71E-218,-1.331230346,0.11,0.483,1.56E-213,Healthy/Control,ENSG00000034677,,,ENSG00000034677,RNF19A
1.47E-215,-1.318872296,0.111,0.478,4.88E-211,Healthy/Control,ENSG00000253719,,,ENSG00000253719,ATXN7L3B
1.83E-215,1.908720241,0.296,0,6.07E-211,Healthy/Control,ENSG00000233276,,,ENSG00000233276,GPX1
9.34E-215,1.896714986,0.295,0,3.10E-210,Healthy/Control,ENSG00000154723,,,ENSG00000154723,ATP5PF
1.81E-214,-1.344220889,0.1,0.455,6.03E-210,Healthy/Control,ENSG00000134107,,,ENSG00000134107,BHLHE40
3.50E-214,-1.298664096,0.117,0.477,1.16E-209,Healthy/Control,ENSG00000112851,,,ENSG00000112851,ERBIN
5.49E-213,-1.220491858,0.162,0.553,1.82E-208,Healthy/Control,ENSG00000157216,,,ENSG00000157216,SSBP3
5.66E-211,-1.387277235,0.071,0.404,1.88E-206,Healthy/Control,ENSG00000162664,,,ENSG00000162664,ZNF326
1.09E-210,-0.672611109,0.572,0.964,3.63E-206,Healthy/Control,ENSG00000129968,,,ENSG00000129968,ABHD17A
2.41E-208,-1.060660976,0.274,0.725,8.00E-204,Healthy/Control,ENSG00000120616,,,ENSG00000120616,EPC1
4.73E-208,-0.899533092,0.391,0.836,1.57E-203,Healthy/Control,ENSG00000140575,,,ENSG00000140575,IQGAP1
3.58E-207,-0.910634198,0.39,0.847,1.19E-202,Healthy/Control,ENSG00000082153,,,ENSG00000082153,BZW1
5.95E-207,-1.220357483,0.156,0.543,1.98E-202,Healthy/Control,ENSG00000197102,,,ENSG00000197102,DYNC1H1
5.88E-205,-0.982033174,0.325,0.766,1.95E-200,Healthy/Control,ENSG00000150093,,,ENSG00000150093,ITGB1
8.65E-205,-0.898601773,0.405,0.865,2.87E-200,Healthy/Control,ENSG00000196924,,,ENSG00000196924,FLNA
1.35E-204,-1.252250792,0.138,0.523,4.49E-200,Healthy/Control,ENSG00000169895,,,ENSG00000169895,SYAP1
4.59E-204,-0.960345045,0.35,0.811,1.53E-199,Healthy/Control,ENSG00000087365,,,ENSG00000087365,SF3B2
2.70E-203,-1.030945942,0.28,0.707,8.96E-199,Healthy/Control,ENSG00000100345,,,ENSG00000100345,MYH9
2.86E-203,-1.140303163,0.201,0.608,9.51E-199,Healthy/Control,ENSG00000168610,,,ENSG00000168610,STAT3
4.16E-203,-0.428263034,0.739,0.995,1.38E-198,Healthy/Control,ENSG00000150991,,,ENSG00000150991,UBC
4.84E-203,1.851578834,0.281,0,1.61E-198,Healthy/Control,ENSG00000130770,,,ENSG00000130770,ATP5IF1
8.78E-203,0.25570517,0.902,0.823,2.92E-198,Healthy/Control,ENSG00000111796,,,ENSG00000111796,KLRB1
4.30E-202,-1.288139626,0.113,0.474,1.43E-197,Healthy/Control,ENSG00000123684,,,ENSG00000123684,LPGAT1
4.91E-202,-1.029000132,0.282,0.713,1.63E-197,Healthy/Control,ENSG00000127603,,,ENSG00000127603,MACF1
1.62E-201,1.50950713,0.396,0.086,5.39E-197,Healthy/Control,ENSG00000204482,,,ENSG00000204482,LST1
8.61E-200,-1.089399127,0.234,0.653,2.86E-195,Healthy/Control,ENSG00000152291,,,ENSG00000152291,TGOLN2
1.19E-199,-1.383398448,0.055,0.352,3.95E-195,Healthy/Control,ENSG00000100425,,,ENSG00000100425,BRD1
4.19E-198,-1.004166741,0.3,0.738,1.39E-193,Healthy/Control,ENSG00000069275,,,ENSG00000069275,NUCKS1
1.26E-197,-1.131544381,0.201,0.605,4.18E-193,Healthy/Control,ENSG00000005810,,,ENSG00000005810,MYCBP2
4.39E-197,-1.374746486,0.06,0.36,1.46E-192,Healthy/Control,ENSG00000165030,,,ENSG00000165030,NFIL3
4.23E-196,1.813789505,0.273,0,1.41E-191,Healthy/Control,ENSG00000154518,,,ENSG00000154518,ATP5MC3
3.36E-195,-1.230627134,0.134,0.501,1.11E-190,Healthy/Control,ENSG00000118482,,,ENSG00000118482,PHF3
1.46E-194,-0.8465685,0.428,0.872,4.86E-190,Healthy/Control,ENSG00000133226,,,ENSG00000133226,SRRM1
2.28E-194,-1.108779615,0.216,0.626,7.58E-190,Healthy/Control,ENSG00000162924,,,ENSG00000162924,REL
6.73E-194,-1.081035067,0.241,0.67,2.24E-189,Healthy/Control,ENSG00000164674,,,ENSG00000164674,SYTL3
9.41E-194,-1.249504668,0.118,0.467,3.13E-189,Healthy/Control,ENSG00000112531,,,ENSG00000112531,QKI
1.02E-193,-1.240850128,0.122,0.475,3.38E-189,Healthy/Control,ENSG00000134516,,,ENSG00000134516,DOCK2
1.84E-193,-1.145044011,0.184,0.573,6.13E-189,Healthy/Control,ENSG00000129003,,,ENSG00000129003,VPS13C
2.41E-193,-1.205068872,0.145,0.514,8.01E-189,Healthy/Control,ENSG00000125844,,,ENSG00000125844,RRBP1
6.11E-193,-0.988299627,0.296,0.713,2.03E-188,Healthy/Control,ENSG00000167522,,,ENSG00000167522,ANKRD11
1.41E-192,-1.194652948,0.148,0.511,4.68E-188,Healthy/Control,ENSG00000111642,,,ENSG00000111642,CHD4
2.00E-192,1.789519071,0.268,0,6.66E-188,Healthy/Control,ENSG00000241837,,,ENSG00000241837,ATP5PO
7.50E-192,-1.191317655,0.15,0.515,2.49E-187,Healthy/Control,ENSG00000126524,,,ENSG00000126524,SBDS
1.89E-191,-1.18316058,0.151,0.518,6.29E-187,Healthy/Control,ENSG00000111615,,,ENSG00000111615,KRR1
7.35E-191,-1.1807454,0.155,0.529,2.44E-186,Healthy/Control,ENSG00000164463,,,ENSG00000164463,CREBRF
8.19E-188,-1.093143721,0.218,0.624,2.72E-183,Healthy/Control,ENSG00000170571,,,ENSG00000170571,EMB
1.42E-186,-0.943119926,0.379,0.868,4.73E-182,Healthy/Control,ENSG00000110651,,,ENSG00000110651,CD81
1.75E-186,-1.215244639,0.123,0.471,5.81E-182,Healthy/Control,ENSG00000145241,,,ENSG00000145241,CENPC
1.85E-186,-1.065251186,0.233,0.639,6.16E-182,Healthy/Control,ENSG00000129128,,,ENSG00000129128,SPCS3
1.96E-186,-0.497487364,0.682,0.984,6.50E-182,Healthy/Control,ENSG00000122566,,,ENSG00000122566,HNRNPA2B1
4.30E-186,-1.053483375,0.253,0.686,1.43E-181,Healthy/Control,ENSG00000105887,,,ENSG00000105887,MTPN
7.47E-186,-1.121625416,0.191,0.569,2.48E-181,Healthy/Control,ENSG00000087074,,,ENSG00000087074,PPP1R15A
9.41E-185,-0.740402531,0.481,0.868,3.13E-180,Healthy/Control,ENSG00000026025,,,ENSG00000026025,VIM
1.77E-184,-1.060140566,0.232,0.637,5.89E-180,Healthy/Control,ENSG00000132670,,,ENSG00000132670,PTPRA
2.39E-184,-0.731232914,0.486,0.87,7.95E-180,Healthy/Control,ENSG00000179218,,,ENSG00000179218,CALR
1.01E-183,-1.168726041,0.152,0.513,3.37E-179,Healthy/Control,ENSG00000197081,,,ENSG00000197081,IGF2R
5.24E-182,-0.696694547,0.528,0.92,1.74E-177,Healthy/Control,ENSG00000167004,,,ENSG00000167004,PDIA3
7.06E-182,-0.675290047,0.548,0.931,2.35E-177,Healthy/Control,ENSG00000152518,,,ENSG00000152518,ZFP36L2
3.87E-181,-1.099727371,0.194,0.574,1.29E-176,Healthy/Control,ENSG00000274265,,,ENSG00000274265,AC245297.3
2.60E-180,-1.243497053,0.095,0.4,8.64E-176,Healthy/Control,ENSG00000130731,,,ENSG00000130731,METTL26
4.70E-179,-0.990138154,0.274,0.678,1.56E-174,Healthy/Control,ENSG00000164346,,,ENSG00000164346,NSA2
1.41E-178,-0.929683978,0.338,0.77,4.68E-174,Healthy/Control,ENSG00000124795,,,ENSG00000124795,DEK
6.73E-178,-0.783838692,0.463,0.888,2.24E-173,Healthy/Control,ENSG00000092199,,,ENSG00000092199,HNRNPC
2.67E-177,-0.928248715,0.336,0.766,8.88E-173,Healthy/Control,ENSG00000115524,,,ENSG00000115524,SF3B1
4.57E-177,-0.636435066,0.566,0.932,1.52E-172,Healthy/Control,ENSG00000152795,,,ENSG00000152795,HNRNPDL
9.03E-177,-1.027439247,0.249,0.657,3.00E-172,Healthy/Control,ENSG00000101695,,,ENSG00000101695,RNF125
1.31E-176,-1.109601776,0.183,0.559,4.34E-172,Healthy/Control,ENSG00000083896,,,ENSG00000083896,YTHDC1
1.73E-176,-1.128494167,0.163,0.514,5.74E-172,Healthy/Control,ENSG00000124126,,,ENSG00000124126,PREX1
1.76E-175,-1.229440043,0.094,0.39,5.84E-171,Healthy/Control,ENSG00000117899,,,ENSG00000117899,MESD
6.61E-175,-0.955941483,0.305,0.72,2.20E-170,Healthy/Control,ENSG00000128016,,,ENSG00000128016,ZFP36
3.32E-174,-0.7979071,0.449,0.875,1.10E-169,Healthy/Control,ENSG00000134884,,,ENSG00000134884,ARGLU1
3.37E-174,-1.17182742,0.124,0.442,1.12E-169,Healthy/Control,ENSG00000225663,,,ENSG00000225663,MCRIP1
3.73E-172,-1.297083501,0.049,0.316,1.24E-167,Healthy/Control,ENSG00000163659,,,ENSG00000163659,TIPARP
3.78E-172,-1.223016192,0.095,0.404,1.26E-167,Healthy/Control,ENSG00000176624,,,ENSG00000176624,MEX3C
6.63E-172,-1.141307504,0.148,0.5,2.20E-167,Healthy/Control,ENSG00000109381,,,ENSG00000109381,ELF2
1.05E-171,-1.084864591,0.193,0.57,3.48E-167,Healthy/Control,ENSG00000164985,,,ENSG00000164985,PSIP1
7.54E-171,-0.991861382,0.281,0.711,2.51E-166,Healthy/Control,ENSG00000187735,,,ENSG00000187735,TCEA1
1.28E-170,-1.173629102,0.118,0.427,4.26E-166,Healthy/Control,ENSG00000107738,,,ENSG00000107738,VSIR
5.44E-170,-0.524749954,0.653,0.965,1.81E-165,Healthy/Control,ENSG00000162434,,,ENSG00000162434,JAK1
7.04E-170,-1.017525128,0.248,0.652,2.34E-165,Healthy/Control,ENSG00000100811,,,ENSG00000100811,YY1
2.05E-169,-1.070433688,0.199,0.575,6.82E-165,Healthy/Control,ENSG00000164754,,,ENSG00000164754,RAD21
3.82E-169,-1.237907852,0.078,0.371,1.27E-164,Healthy/Control,ENSG00000100221,,,ENSG00000100221,JOSD1
4.05E-169,-1.223004369,0.084,0.369,1.35E-164,Healthy/Control,ENSG00000071462,,,ENSG00000071462,BUD23
7.26E-169,-1.152613954,0.128,0.443,2.41E-164,Healthy/Control,ENSG00000189159,,,ENSG00000189159,JPT1
8.03E-169,-1.203851097,0.109,0.42,2.67E-164,Healthy/Control,ENSG00000173230,,,ENSG00000173230,GOLGB1
8.42E-169,-0.994411174,0.262,0.666,2.80E-164,Healthy/Control,ENSG00000132485,,,ENSG00000132485,ZRANB2
2.22E-168,1.48982728,0.326,0.057,7.37E-164,Healthy/Control,ENSG00000204472,,,ENSG00000204472,AIF1
3.41E-168,-1.088063509,0.182,0.547,1.13E-163,Healthy/Control,ENSG00000159023,,,ENSG00000159023,EPB41
1.67E-167,-0.915966645,0.338,0.767,5.53E-163,Healthy/Control,ENSG00000170776,,,ENSG00000170776,AKAP13
2.77E-167,-1.103720422,0.17,0.538,9.21E-163,Healthy/Control,ENSG00000198160,,,ENSG00000198160,MIER1
3.60E-167,-1.188121196,0.108,0.425,1.20E-162,Healthy/Control,ENSG00000125107,,,ENSG00000125107,CNOT1
4.56E-167,-1.030799641,0.227,0.616,1.51E-162,Healthy/Control,ENSG00000101596,,,ENSG00000101596,SMCHD1
7.74E-167,-1.188518493,0.109,0.423,2.57E-162,Healthy/Control,ENSG00000055332,,,ENSG00000055332,EIF2AK2
9.21E-166,-0.668358282,0.541,0.925,3.06E-161,Healthy/Control,ENSG00000166913,,,ENSG00000166913,YWHAB
1.18E-165,-1.006068767,0.243,0.625,3.92E-161,Healthy/Control,ENSG00000172216,,,ENSG00000172216,CEBPB
2.06E-164,1.5205863,0.3,0.041,6.84E-160,Healthy/Control,ENSG00000085265,,,ENSG00000085265,FCN1
2.95E-164,-1.182129153,0.098,0.393,9.81E-160,Healthy/Control,ENSG00000183684,,,ENSG00000183684,ALYREF
5.81E-164,-1.003898351,0.24,0.622,1.93E-159,Healthy/Control,ENSG00000127022,,,ENSG00000127022,CANX
1.16E-163,-1.060838709,0.214,0.609,3.84E-159,Healthy/Control,ENSG00000255823,,,ENSG00000255823,MTRNR2L8
6.50E-163,-0.900485607,0.334,0.742,2.16E-158,Healthy/Control,ENSG00000124942,,,ENSG00000124942,AHNAK
1.11E-162,-0.952847245,0.297,0.712,3.70E-158,Healthy/Control,ENSG00000215301,,,ENSG00000215301,DDX3X
3.67E-162,-1.210364338,0.081,0.369,1.22E-157,Healthy/Control,ENSG00000008294,,,ENSG00000008294,SPAG9
6.80E-162,-1.104631693,0.16,0.514,2.26E-157,Healthy/Control,ENSG00000068796,,,ENSG00000068796,KIF2A
8.84E-162,-0.946687594,0.289,0.691,2.94E-157,Healthy/Control,ENSG00000126247,,,ENSG00000126247,CAPNS1
1.11E-161,-1.154024959,0.117,0.429,3.68E-157,Healthy/Control,ENSG00000156650,,,ENSG00000156650,KAT6B
4.30E-160,-1.167595898,0.103,0.39,1.43E-155,Healthy/Control,ENSG00000224877,,,ENSG00000224877,NDUFAF8
5.18E-160,-1.18108178,0.097,0.394,1.72E-155,Healthy/Control,ENSG00000047849,,,ENSG00000047849,MAP4
5.47E-160,-1.050639383,0.192,0.553,1.82E-155,Healthy/Control,ENSG00000119541,,,ENSG00000119541,VPS4B
7.67E-160,-1.195980064,0.085,0.373,2.55E-155,Healthy/Control,ENSG00000108064,,,ENSG00000108064,TFAM
9.06E-160,-1.270811381,0.049,0.298,3.01E-155,Healthy/Control,ENSG00000185022,,,ENSG00000185022,MAFF
1.57E-159,-1.071806677,0.173,0.516,5.20E-155,Healthy/Control,ENSG00000123933,,,ENSG00000123933,MXD4
3.65E-159,-1.164140295,0.111,0.417,1.21E-154,Healthy/Control,ENSG00000077235,,,ENSG00000077235,GTF3C1
5.24E-159,-0.911154946,0.314,0.714,1.74E-154,Healthy/Control,ENSG00000067066,,,ENSG00000067066,SP100
9.07E-159,-1.214967239,0.079,0.35,3.01E-154,Healthy/Control,ENSG00000254013,,,ENSG00000254013,MAP2K1P1
1.14E-158,-1.090692678,0.158,0.499,3.79E-154,Healthy/Control,ENSG00000138594,,,ENSG00000138594,TMOD3
3.03E-158,-1.174745286,0.098,0.398,1.01E-153,Healthy/Control,ENSG00000133858,,,ENSG00000133858,ZFC3H1
9.51E-158,-1.08666413,0.158,0.497,3.16E-153,Healthy/Control,ENSG00000168438,,,ENSG00000168438,CDC40
1.07E-157,-1.022724845,0.224,0.611,3.56E-153,Healthy/Control,ENSG00000159388,,,ENSG00000159388,BTG2
1.65E-157,-1.065580966,0.173,0.513,5.50E-153,Healthy/Control,ENSG00000065883,,,ENSG00000065883,CDK13
1.83E-157,-1.020693173,0.212,0.568,6.08E-153,Healthy/Control,ENSG00000144674,,,ENSG00000144674,GOLGA4
2.74E-157,-1.135128855,0.12,0.431,9.09E-153,Healthy/Control,ENSG00000184863,,,ENSG00000184863,RBM33
